Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Years_Operating,Item_Price_Range,I_T_Baking Goods,I_T_Breads,I_T_Breakfast,I_T_Canned,I_T_Dairy,I_T_Frozen Foods,I_T_Fruits and Vegetables,I_T_Hard Drinks,I_T_Health and Hygiene,I_T_Household,I_T_Meat,I_T_Others,I_T_Seafood,I_T_Snack Foods,I_T_Soft Drinks,I_T_Starchy Foods,O_I_OUT010,O_I_OUT013,O_I_OUT017,O_I_OUT018,O_I_OUT019,O_I_OUT027,O_I_OUT035,O_I_OUT045,O_I_OUT046,O_I_OUT049,I_T_C_Drinks,I_T_C_Food,I_T_C_Non-Consumable
17.6,1,0.047257328,119.6782,0,1,1.0,2145.2076,train,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16.35,0,0.0680243,196.4426,2,3,1.0,1977.426,train,33,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9.0,1,0.069088961,56.3614,0,1,1.0,1547.3192,train,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11.8,0,0.008596051,115.3492,1,3,2.0,1621.8888,train,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9.0,1,0.069196376,54.3614,1,1,1.0,718.3982,train,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8.26,0,0.034237682,113.2834,1,3,3.0,2303.668,train,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13.35,0,0.10249212,230.5352,0,2,1.0,2748.4224,train,16,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18.85,1,0.138190277,250.8724,2,3,1.0,3775.086,train,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8.315,1,0.035399923,144.5444,1,3,3.0,4064.0432,train,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14.6,0,0.025698134,196.5084,0,2,1.0,1587.2672,train,16,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15.5,0,0.057556998,107.6938,0,1,0.0,214.3876,train,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13.85,1,0.025896485,165.021,0,1,1.0,4078.025,train,23,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13.0,0,0.099887103,45.906,0,2,1.0,838.908,train,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7.645,1,0.066693437,42.3112,0,2,1.0,1065.28,train,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11.65,0,0.019356132,39.1164,2,3,1.0,308.9312,train,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5.925,1,0.161466534,45.5086,0,3,0.0,178.4344,train,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14.5,1,0.072221801,43.6454,0,1,0.0,125.8362,train,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19.25,0,0.170348551,55.7956,0,3,0.0,163.7868,train,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18.6,0,0.080829372,96.4436,1,3,2.0,2741.7644,train,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
18.7,0,0.05997634188163007,256.6672,1,3,2.0,3068.0064,train,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17.85,0,0.060907308320413356,93.1436,0,2,1.0,2174.5028,train,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17.5,0,0.097904029,174.8738,0,1,1.0,2085.2856,train,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10.0,0,0.089291137,146.7102,1,1,1.0,3791.0652,train,21,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20.199999999999996,1,0.059511812,128.0678,1,3,3.0,2797.6916,train,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8.85,1,0.113123893,122.5388,1,3,2.0,1609.9044,train,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6.385,1,0.123111453,36.9874,1,3,3.0,388.1614,train,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15.25,0,0.026480954,87.6198,1,3,3.0,2180.495,train,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13.35,0,0.102511504,230.6352,0,1,1.0,3435.528,train,23,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9.8,0,0.02681843,126.002,2,3,1.0,2150.534,train,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13.6,0,0.117818348,192.9136,1,1,1.0,2527.3768,train,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
21.35,0,0.069102831,259.9278,1,3,2.0,6768.5228,train,11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12.15,1,0.042277867,126.5046,2,3,1.0,373.5138,train,33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6.42,0,0.089498926,178.1002,0,3,0.0,358.2004,train,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19.6,0,0.060907308320413356,153.3024,0,2,1.0,2428.8384,train,18,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10.0,0,0.025879577,265.2226,0,2,1.0,5815.0972,train,18,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15.85,1,0.121632721,60.622,0,1,1.0,2576.646,train,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10.195000000000002,1,0.255394896,196.8794,0,1,0.0,780.3176,train,35,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7.39,0,0.067779712,143.8812,0,1,1.0,3134.5864,train,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10.195,0,0.159803853,141.5154,2,3,1.0,850.8924,train,33,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9.895,1,0.028696932,117.0492,2,3,1.0,810.9444,train,33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10.895,0,0.065041581,196.3794,0,2,1.0,3121.2704,train,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12.15,0,0.028760013,151.4708,0,2,1.0,4815.0656,train,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7.905,0,0.010053105,249.0408,1,3,2.0,6258.52,train,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9.195,0,0.048157338,106.1622,0,2,1.0,2117.244,train,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8.365,0,0.071958197,38.0506,1,1,1.0,796.9626,train,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15.1,0,0.173481304,194.511,0,1,1.0,4910.275,train,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5.9399999999999995,0,0.061082177,180.0344,0,1,0.0,892.172,train,35,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10.0,0,0.05997634188163007,246.9144,1,3,2.0,3185.1872,train,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7.97,1,0.040071131,87.3514,0,2,1.0,1062.6168,train,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6.215,0,0.012090074,38.2848,1,3,3.0,484.7024,train,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15.5,1,0.15028599,51.0692,0,1,0.0,147.8076,train,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17.5,0,0.026015519,255.8356,1,3,3.0,2543.356,train,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17.7,0,0.195068226,185.4266,0,3,0.0,184.4266,train,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19.35,0,0.033082215,172.5738,0,2,1.0,4865.6664,train,16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13.65,1,0.078946455,186.024,0,2,1.0,1118.544,train,18,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17.6,0,0.041700756,164.8526,0,2,1.0,2302.3364,train,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8.645,0,0.143422643,95.841,0,1,1.0,2027.361,train,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15.6,1,0.105296072,170.1764,0,1,1.0,3435.528,train,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15.85,1,0.121531501,59.222,2,3,1.0,599.22,train,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18.25,0,0.060907308320413356,164.7526,0,2,1.0,4604.6728,train,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7.855,0,0.011324862,189.6188,0,2,1.0,2285.0256,train,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7.825,0,0.186357148,254.3698,1,1,1.0,5580.7356,train,21,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8.39,1,0.024205661,114.0176,0,1,1.0,2290.352,train,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12.85,0,0.033230816,172.3422,1,1,1.0,1207.0954,train,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13.349999999999998,0,0.113720344,89.9804,0,1,0.0,643.1628,train,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19.0,0,0.112556507,104.9622,0,2,1.0,1587.933,train,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5.905,0,0.060907308320413356,222.5456,0,2,1.0,5305.0944,train,18,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7.76,0,0.059352241,101.87,0,1,1.0,1697.79,train,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11.8,1,0.014087057,180.3344,0,1,1.0,1427.4752,train,23,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16.75,0,0.045230944,187.9556,1,3,2.0,4693.89,train,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18.85,0,0.293417759,194.6136,0,1,0.0,583.2408,train,35,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12.599999999999998,1,0.031382044,171.3764,1,3,3.0,3091.9752,train,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15.5,1,0.12639886,177.0028,0,2,1.0,2479.4392,train,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6.055,0,0.025403898,160.992,0,2,1.0,2716.464,train,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20.199999999999996,1,0.039057677,155.963,1,3,3.0,3285.723,train,35,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6.305,1,0.123115764,95.6436,0,1,1.0,661.8052,train,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20.85,0,0.039624006,117.2808,1,1,1.0,1523.3504,train,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20.75,0,0.040421193,122.173,0,3,0.0,369.519,train,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8.895,0,0.105274111,39.9138,1,1,1.0,690.4346,train,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19.6,0,0.033970195,55.1614,0,2,1.0,1381.535,train,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19.7,0,0.053212652,57.893,0,2,1.0,622.523,train,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9.8,0,0.024378706,114.5492,0,2,1.0,1274.3412,train,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7.93,0,0.009714595,120.0414,0,1,0.0,487.3656,train,35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12.15,0,0.131383762,246.046,1,1,1.0,1231.73,train,21,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8.75,1,0.07461309,187.4556,0,2,1.0,3755.112,train,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12.150000000000002,0,0.028459761,149.9708,1,3,3.0,4363.6532,train,35,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8.75,1,0.074627201,187.8556,0,1,1.0,1314.2892,train,23,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13.3,0,0.063695084,151.0708,0,2,1.0,1805.6496,train,18,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20.6,1,0.045797829,178.5344,1,3,3.0,2854.9504,train,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8.31,1,0.115857223,179.1028,1,1,1.0,3896.2616,train,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
16.75,1,0.024832806,38.7822,2,3,1.0,667.7974,train,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19.75,0,0.034027909,212.0902,1,3,2.0,3185.853,train,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17.1,1,0.0467696,141.1838,2,3,1.0,2247.7408,train,33,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10.5,1,0.116576702,163.121,2,3,1.0,1794.331,train,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6.635,1,0.060907308320413356,121.3098,0,2,1.0,2530.7058,train,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9.395,0,0.278974075,225.372,0,1,0.0,679.116,train,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14.15,0,0.035913805,41.4138,2,3,1.0,812.276,train,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13.3,0,0.079806266,232.53,0,1,1.0,699.09,train,23,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8.89,0,0.005505481,102.4016,0,2,1.0,2732.4432,train,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6.6899999999999995,1,0.064625342,176.937,0,1,0.0,176.437,train,35,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6.195,0,0.071636937,121.7098,1,3,3.0,4097.3332,train,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9.1,1,0.060907308320413356,173.2054,0,2,1.0,3151.8972,train,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7.5,0,0.032677678,239.0906,1,1,1.0,5942.265,train,21,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
16.85,1,0.160760054,192.4478,0,2,1.0,4843.695,train,13,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7.485,0,0.06911065,109.0228,0,2,1.0,2542.0244,train,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11.6,0,0.041177505,140.3154,0,2,1.0,2552.6772,train,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11.65,0,0.040081193,227.0694,1,3,2.0,1141.847,train,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
13.0,0,0.035307322,47.5034,0,2,1.0,680.4476,train,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12.65,0,0.063017847,159.0578,0,2,1.0,2085.9514,train,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20.25,1,0.171938781,92.512,0,3,0.0,186.424,train,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8.6,1,0.040197932,190.153,0,2,1.0,3036.048,train,16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12.6,0,0.049058014,62.7194,0,2,1.0,866.8716,train,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17.7,0,0.01161096,95.041,0,2,1.0,868.869,train,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14.15,0,0.183507295,82.4276,0,1,1.0,1137.1864,train,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19.25,0,0.102349519,52.7956,0,2,1.0,928.1252,train,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8.88,0,0.086708987,151.7682,2,3,1.0,762.341,train,33,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20.5,0,0.032835147,40.2822,0,2,1.0,707.0796,train,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12.0,0,0.033809913,180.5976,1,3,3.0,7968.2944,train,35,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13.5,0,0.07266912,160.292,0,1,1.0,1438.128,train,23,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12.150000000000002,0,0.144338493,224.4404,1,3,3.0,6976.2524,train,35,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8.89,0,0.009163216,101.7016,0,3,0.0,101.2016,train,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7.855,0,0.011307038,188.5188,1,3,2.0,952.094,train,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7.235,0,0.076855628,116.0492,0,1,1.0,1969.4364,train,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18.25,0,0.059956876,165.4526,1,3,3.0,5262.4832,train,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6.92,0,0.038532062,60.5852,0,2,1.0,1314.2892,train,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9.3,0,0.043209581,90.8172,0,2,1.0,535.3032,train,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
